#HGNC ID	HGNC symbol
20661	SLC25A26
19121	HMGA1P6
42488	RNY3P4
42682	LINC00362
42548	RNU6-58P
39256	TATDN2P3
42684	LINC00363
39261	SDAD1P4
41973	RPLP1P13
39835	SACS-AS1
39547	HNRNPA1P29
39910	GPC6-AS2
42611	RNA5SP35
42009	LINC00327
39909	GPC6-AS1
42670	LINC00352
42612	RNA5SP36
39681	MTCO3P2
46601	RN7SL585P
42719	LINC00391
39807	SOX21-AS1
39839	C1QTNF9B-AS1
37631	BRD7P5
36526	RPL21P112
43701	LINC00557
42552	RNU6-62P
42492	RNY3P8
42737	ANKRD20A19P
42495	RNY4P27
49102	MEMO1P5
39907	CLDN10-AS1
39808	DNAJC3-AS1
39838	IPO7P2
41919	MTND5P2
37313	MIR2276
39905	SPATA13-AS1
39481	MTND6P18
39906	C1QTNF9-AS1
39579	MTCYBP3
30934	NUS1P3
43710	LINC00566
39368	HMGN1P24
24407	CYCSP33
46180	RN7SL164P
39809	AMMECR1LP1
42644	TPTE2P6
32540	HSP90AB6P
42679	LINC00359
42643	PSPC1P2
39262	TULP3P1
42625	RN7SKP7
42484	RNY1P7
36249	RPL26P34
42804	LINC00456
33315	IRX1P1
42613	RNA5SP37
39609	PSMA6P4
39707	ANKRD20A10P
35482	RPL7AP61
35196	TPTE2P1
37956	FTLP8
42626	RN7SKP8
38282	MIR3170
39844	SLC25A15P3
40229	FARP1-AS1
36369	RPL34P27
39935	STK24-AS1
38474	NUS1P4
42813	AMER2-AS1
24409	CYCSP35
49047	LINC01053
39661	CALM2P4
49119	LINC01076
46076	RN7SL60P
36625	RPL23AP69
40672	DOCK9-AS1
1121	BTC
39811	RPL7L1P12
39719	TCEB2P1
46305	RN7SL289P
42573	RNU6-83P
42568	RNU6-78P
43696	DOCK9-AS2
39581	RPS6P23
46757	RN7SL741P
4164	GAST
42480	RNY1P3
42748	LINC00415
37774	GAPDHP22
42502	UBAC2-AS1
42641	ATP8A2P3
42627	RN7SKP9
38013	H2AFZP3
32879	MIR623
39723	PRUNEP1
39104	HMGB3P4
39812	CCR12P
39570	PRKRIRP6
42786	LINC00449
36761	RPS3AP44
42490	RNY3P6
49027	LINC01039
39841	WASF3-AS1
39960	CFL1P8
39706	FGFR1OP2P1
39705	RPS21P8
38350	MIR4306
36444	RPS20P32
39894	CLYBL-AS2
39961	USP12-AS1
39893	CLYBL-AS1
39962	USP12-AS2
42745	LINC00412
10099	SNORD102
43697	LINC00554
32617	SNORA27
39419	NDUFA12P1
42560	RNU6-70P
49122	LINC01079
39399	ASNSP3
42478	RNY1P1
42553	RNU6-63P
36515	RPL15P18
7924	NPM1P4
4812	HAP1
42563	RNU6-73P
39901	PCCA-AS1
43698	PDX1-AS1
43678	LINC00543
46288	RN7SL272P
39724	KATNBL1P1
39592	CHCHD2P8
36368	RPS26P47
39932	PAN3-AS1
2275	COX5BP6
3194	EEF1A1P3
42572	RNU6-82P
42743	NALCN-AS1
37926	EIF4A1P7
42543	RNU6-53P
32380	ARF4P3
20251	CYP51A1P2
42744	LINC00411
42635	POM121L13P
42504	RNU1-24P
40923	MTUS2-AS2
39299	HMGB3P7
41532	MIR2681
4147	GAPDHP69
39278	LIPT1P1
42479	RNY1P2
40924	MTUS2-AS1
41567	MIR4705
35808	RPL39P29
39211	TIMM8BP1
39210	LINC00297
42774	FGF14-IT1
43722	LINC00572
40237	FGF14-AS1
43679	LINC00544
44368	FGF14-AS2
43699	LINC00555
42687	LINC00365
42711	LINC00384
38809	LINC00283
42713	LINC00385
34089	RNY5P8
42554	RNU6-64P
41948	METTL21EP
30020	PRDX2P1
42762	LINC00427
39852	ATP6V1G1P7
35522	RPL7P45
30243	DAOA-AS1
42761	LINC00426
42500	LINC00343
49061	LINC01058
6207	JUP
13477	UBE2L5P
42614	RNA5SP38
39695	RBM22P2
42809	LINC00460
39694	MFAP1P1
39402	RPL35P9
9654	PTPN2P2
43691	LINC00551
42780	LINC00443
42727	LINC00398
39508	ATP5G1P5
39269	PPIAP24
42784	TEX26-AS1
35335	MIR1267
41503	FAM155A-IT1
42615	RNA5SP39
39815	HCFC2P1
39914	MYO16-AS2
43680	LINC00545
39913	MYO16-AS1
42692	LINC00370
49104	LINC01066
49105	LINC01067
38248	MIR548X
42637	WDR95P
42728	LINC00399
44394	LINC00676
17236	PPIAP22
39690	ANKRD26P4
42628	RN7SKP10
42724	LINC00396
30486	EEF1DP3
46799	RN7SL783P
39849	COL4A2-AS2
49114	LINC01073
39725	FRY-AS1
40156	COL4A2-AS1
11053	SLC6A6P1
5408	IFIT1P1
36313	RPL21P107
48481	RNU1-139P
